"Player","Team","Sacks","INTs","FumReco","FumFor","TDs","Safeties","PtsAgainst","YdsAgainst","FPTS"
"Jacksonville Jaguars","","46.2","17.5","11.0","17.4","4.0","0.9","292.8","4,827.9","128.8"
"Los Angeles Rams","","42.9","16.3","10.3","15.8","3.4","0.5","325.6","5,504.2","117.5"
"Philadelphia Eagles","","37.6","16.5","11.6","18.9","3.6","0.5","306.1","5,130.6","116.6"
"Baltimore Ravens","","37.5","17.1","11.4","17.6","3.6","0.2","311.5","5,138.1","116.5"
"Los Angeles Chargers","","41.0","16.0","10.6","15.5","3.4","0.5","315.7","5,348.0","115.7"
"Minnesota Vikings","","42.1","15.8","9.7","13.1","3.4","0.6","294.3","4,822.2","114.7"
"Denver Broncos","","39.2","15.0","10.4","13.6","3.5","0.6","345.7","4,769.0","112.6"
"Houston Texans","","41.1","14.4","10.3","13.8","3.4","0.2","367.9","5,404.0","111.1"
"Carolina Panthers","","42.4","13.5","11.4","18.7","2.9","0.6","336.6","5,350.3","110.4"
"Pittsburgh Steelers","","41.3","14.4","9.9","13.4","2.8","0.2","332.7","5,321.5","106.9"
"Arizona Cardinals","","37.6","14.0","10.4","17.4","3.0","0.5","346.1","5,023.5","105.6"
"Seattle Seahawks","","37.1","14.4","10.5","15.5","2.9","0.5","333.0","5,255.8","105.3"
"New Orleans Saints","","35.4","16.0","9.5","13.5","3.1","0.2","360.0","5,670.8","105.3"
"New England Patriots","","40.0","14.5","9.3","11.8","2.7","0.6","313.3","5,812.0","105.0"
"Detroit Lions","","34.3","14.5","10.3","15.5","2.9","0.9","373.0","5,654.4","103.0"
"Chicago Bears","","39.6","12.0","10.8","16.5","2.8","0.2","347.3","5,347.5","102.6"
"Green Bay Packers","","40.6","12.6","10.2","15.1","2.5","0.5","373.6","5,609.9","102.5"
"Kansas City Chiefs","","32.3","14.6","11.0","16.4","3.0","0.5","353.4","5,898.8","102.4"
"Atlanta Falcons","","35.0","12.9","11.0","18.3","3.0","0.2","346.0","5,496.3","101.2"
"Tennessee Titans","","38.0","13.5","9.7","14.6","2.5","0.6","341.7","5,272.8","100.8"
"Washington Redskins","","37.4","14.6","8.8","13.7","2.7","0.2","371.6","5,629.6","100.5"
"Tampa Bay Buccaneers","","29.3","14.2","11.2","18.3","3.0","0.5","383.9","6,034.1","98.9"
"Dallas Cowboys","","35.7","12.4","11.2","18.3","2.4","0.2","336.5","5,393.3","97.7"
"Buffalo Bills","","32.5","15.7","8.4","12.6","2.6","0.2","356.7","5,577.1","96.8"
"Cincinnati Bengals","","35.9","14.4","8.3","9.6","2.4","0.2","341.1","5,549.2","96.1"
"Miami Dolphins","","34.6","12.5","8.9","13.8","2.5","0.5","374.0","5,555.3","93.6"
"New York Giants","","31.0","13.3","9.2","14.7","2.3","0.5","374.1","5,874.3","90.7"
"San Francisco 49ers","","30.5","11.9","9.8","13.6","2.1","0.5","391.8","5,716.5","87.5"
"New York Jets","","33.2","12.4","9.2","14.0","1.7","0.2","360.5","5,576.9","87.2"
"Oakland Raiders","","31.7","11.3","10.1","17.0","1.8","0.5","381.3","5,803.9","86.4"
"Cleveland Browns","","31.9","11.6","8.2","12.7","1.8","0.2","395.2","5,560.3","82.9"
"Indianapolis Colts","","29.6","11.8","8.4","14.4","2.0","0.5","397.2","5,925.9","82.6"