"Player","Team","FGs","FGAtts","PATs","FPTS"
"Stephen Gostkowski","NE","30.9","36.9","49.5","142.3"
"Greg Zuerlein","LAR","30.9","36.0","41.6","134.4"
"Chris Boswell","PIT","29.8","34.9","42.0","131.2"
"Justin Tucker","BAL","31.4","36.2","36.3","130.6"
"Matt Bryant","ATL","29.4","34.5","41.8","130.2"
"Harrison Butker","KC","30.0","35.9","37.9","128.0"
"Wil Lutz","NO","27.2","32.2","45.8","127.3"
"Jake Elliott","PHI","28.0","33.2","41.9","125.8"
"Robbie Gould","SF","29.4","34.1","34.7","123.0"
"Matt Prater","DET","28.0","33.3","38.5","122.5"
"Mason Crosby","GB","26.1","31.8","43.3","121.7"
"Graham Gano","CAR","28.4","33.1","36.0","121.3"
"Sam Ficken","LAR","25.2","0.0","43.0","118.6"
"Josh Lambo","JAC","26.9","30.8","36.8","117.5"
"Dan Bailey","DAL","25.8","31.7","40.0","117.3"
"Adam Vinatieri","IND","27.3","32.6","34.9","116.7"
"Ryan Succop","TEN","26.2","31.7","36.0","114.6"
"Caleb Sturgis","LAC","24.7","29.1","38.8","112.9"
"Phil Dawson","ARI","26.3","31.9","33.8","112.7"
"Daniel Carlson","MIN","25.3","31.3","36.1","111.8"
"Sebastian Janikowski","SEA","24.9","30.0","36.5","111.3"
"Dustin Hopkins","WAS","24.3","30.2","36.8","109.7"
"Ka'imi Fairbairn","HOU","24.7","30.0","34.4","108.4"
"Brandon McManus","DEN","25.5","32.2","31.7","108.2"
"Chandler Catanzaro","TB","24.4","28.8","33.5","106.6"
"Steven Hauschka","BUF","25.3","29.5","29.8","105.8"
"Randy Bullock","CIN","23.1","26.5","33.3","102.7"
"Jason Sanders","MIA","22.8","26.5","32.8","101.2"
"Cody Parkey","CHI","23.5","27.2","30.7","101.1"
"Kai Forbath","MIN","23.3","26.3","30.8","100.8"
"Cairo Santos","NYJ","23.2","27.3","31.0","100.7"
"Aldrick Rosas","NYG","22.6","28.6","31.8","99.5"
"Zane Gonzalez","CLE","22.4","27.4","31.1","98.3"
"Eddy Pineiro","OAK","20.3","23.2","32.1","93.0"
"Roberto Aguayo","LAC","14.2","3.0","23.2","65.9"
"Mike Nugent","OAK","2.2","2.6","11.1","17.6"
"Jason Myers","SEA","1.3","1.5","2.2","6.1"
"Marshall Koehn","NYG","0.8","1.0","1.4","3.8"